"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014년 9월","3.0060","3.1460","3.2000","3.0050","9.57K","-4.11%"
"2014년 8월","3.1350","3.2240","3.2430","3.0800","12.42K","-2.73%"
"2014년 7월","3.2230","3.1900","3.2750","3.1620","7.98K","1.10%"
"2014년 6월","3.1880","3.1550","3.1940","3.0150","17.17K","1.66%"
"2014년 5월","3.1360","3.0260","3.2000","3.0130","8.60K","3.50%"
"2014년 4월","3.0300","3.0460","3.1440","2.9980","13.92K","-0.53%"
"2014년 3월","3.0460","3.2320","3.2780","2.9280","10.75K","-5.96%"
"2014년 2월","3.2390","3.2160","3.3600","3.1920","15.05K","0.59%"
"2014년 1월","3.2200","3.4660","3.4660","3.2100","5.97K","-6.45%"
"2013년 12월","3.4420","3.2280","3.4450","3.1950","13.01K","6.53%"
"2013년 11월","3.2310","3.2950","3.3140","3.1470","30.31K","-1.94%"
"2013년 10월","3.2950","3.3180","3.3300","3.2130","5.86K","-0.78%"
"2013년 9월","3.3210","3.2500","3.3530","3.1950","9.49K","2.98%"
"2013년 8월","3.2250","3.1350","3.3780","3.1350","24.07K","3.40%"
"2013년 7월","3.1190","3.0320","3.2290","3.0320","11.06K","2.26%"
"2013년 6월","3.0500","3.2990","3.3900","3.0060","26.66K","-7.27%"
"2013년 5월","3.2890","3.1870","3.4050","3.0510","12.40K","3.17%"
"2013년 4월","3.1880","3.3800","3.4460","3.0680","17.32K","-6.10%"
"2013년 3월","3.3950","3.5320","3.5500","3.3810","10.97K","-3.74%"
"2013년 2월","3.5270","3.7310","3.7760","3.5170","22.99K","-5.29%"
"2013년 1월","3.7240","3.6400","3.7530","3.5910","8.16K","2.28%"
"2012년 12월","3.6410","3.6260","3.7030","3.5180","9.44K","0.30%"
"2012년 11월","3.6300","3.5500","3.6280","3.4060","25.59K","2.92%"
"2012년 10월","3.5270","3.7530","3.8260","3.4950","4.88K","-6.52%"
"2012년 9월","3.7730","3.4430","3.8520","3.4290","12.59K","9.24%"
"2012년 8월","3.4540","3.3840","3.5050","3.2980","28.75K","0.99%"
"2012년 7월","3.4200","3.4870","3.5500","3.3480","13.49K","-2.01%"
"2012년 6월","3.4900","3.3600","3.5060","3.2450","27.72K","3.81%"
"2012년 5월","3.3620","3.8410","3.8550","3.3400","13.11K","-12.29%"
"2012년 4월","3.8330","3.8730","3.9500","3.5880","35.40K","0.24%"
"2012년 3월","3.8240","3.8650","3.9420","3.7090","14.61K","-1.19%"
"2012년 2월","3.8700","3.7840","3.9790","3.7020","31.94K","2.16%"
"2012년 1월","3.7880","3.4610","3.8970","3.3930","4.70K","10.37%"
"2011년 12월","3.4320","3.5580","3.6190","3.2500","10.18K","-3.68%"
"2011년 11월","3.5630","3.5600","3.6200","3.2520","22.62K","-1.82%"
"2011년 10월","3.6290","3.0720","3.7120","3.0010","5.22K","15.39%"
"2011년 9월","3.1450","4.1800","4.1800","3.1030","11.67K","-24.89%"
"2011년 8월","4.1870","4.4990","4.4990","3.8740","24.20K","-6.41%"
"2011년 7월","4.4740","4.2500","4.4870","4.2400","11.91K","4.73%"
"2011년 6월","4.2720","4.1810","4.2740","4.0200","23.49K","2.37%"
"2011년 5월","4.1730","4.1780","4.2500","3.8460","10.68K","0.19%"
"2011년 4월","4.1650","4.2700","4.5150","3.9350","20.77K","-3.14%"
"2011년 3월","4.3000","4.4860","4.5350","4.0700","14.84K","-3.97%"
"2011년 2월","4.4780","4.4910","4.6250","4.2710","38.22K","0.61%"
"2011년 1월","4.4510","4.4370","4.4620","4.2130","5.44K","0.27%"
"2010년 12월","4.4390","3.7910","4.4400","3.7880","12.82K","16.11%"
"2010년 11월","3.8230","3.7690","4.0400","3.6680","25.50K","2.44%"
"2010년 10월","3.7320","3.6780","3.8700","3.6450","5.16K","2.36%"
"2010년 9월","3.6460","3.3710","3.6670","3.3710","10.52K","8.48%"
"2010년 8월","3.3610","3.3200","3.4310","3.1800","23.22K","1.63%"
"2010년 7월","3.3070","2.8970","3.3100","2.8450","10.24K","12.64%"
"2010년 6월","2.9360","3.1000","3.1040","2.7250","19.40K","-5.20%"
"2010년 5월","3.0970","3.3220","3.3220","2.9000","10.81K","-7.19%"
